Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
0,1.918,1.642,0.309,0.407
1,1.621,1.47,0.412,0.472
2,1.463,1.364,0.469,0.506
3,1.368,1.268,0.503,0.535
4,1.269,1.204,0.539,0.567
5,1.197,1.126,0.57,0.596
6,1.131,1.082,0.595,0.615
7,1.087,1.027,0.608,0.635
8,1.038,1.005,0.63,0.647
9,1.005,0.974,0.642,0.656
10,0.972,0.952,0.654,0.666
11,0.935,0.933,0.668,0.673
12,0.904,0.884,0.677,0.687
13,0.869,0.852,0.689,0.695
14,0.838,0.833,0.701,0.702
15,0.816,0.848,0.71,0.703
16,0.787,0.847,0.72,0.707
17,0.77,0.786,0.726,0.725
18,0.741,0.774,0.736,0.728
19,0.721,0.796,0.744,0.719
20,0.709,0.77,0.746,0.736
21,0.684,0.752,0.755,0.736
22,0.66,0.73,0.766,0.75
23,0.64,0.715,0.773,0.753
24,0.614,0.715,0.781,0.758
25,0.598,0.724,0.785,0.751
26,0.575,0.708,0.794,0.763
27,0.555,0.69,0.801,0.769
28,0.53,0.711,0.811,0.764
29,0.524,0.678,0.813,0.771
